frame_id,timestamp,x,y,z,target_yaw,target_pitch,distance,armor_orientation_yaw
310,10332.3,-0.591672,0.254486,2.77968,-0.209726,0.089308,2.85332,-0.405109
312,10399,-0.290211,0.204392,2.70246,-0.106978,0.0750583,2.72567,0.793602
313,10432.3,-0.326415,0.20836,2.72866,-0.119059,0.0756745,2.756,0.590933
314,10465.6,-0.358434,0.20712,2.70542,-0.13172,0.0757492,2.73691,0.387762
315,10498.9,-0.385537,0.207501,2.6903,-0.142337,0.0762014,2.72569,-0.0204789
316,10532.3,-0.395338,0.20258,2.6325,-0.149062,0.0759536,2.66972,-0.0222452
317,10565.6,-0.407952,0.203928,2.65574,-0.15242,0.0757524,2.69462,0.042114
318,10598.9,-0.410956,0.204259,2.65542,-0.153543,0.0758705,2.69479,0.0401457
319,10632.3,-0.408023,0.203923,2.64695,-0.152944,0.0759949,2.68597,0.329961
320,10665.6,-0.406519,0.203403,2.64408,-0.152552,0.0758883,2.68287,0.0535721
321,10698.9,-0.408602,0.204816,2.66732,-0.152006,0.0757565,2.7062,0.0310385
322,10732.3,-0.407397,0.204959,2.66437,-0.15173,0.0758959,2.70311,0.0227054
323,10765.6,-0.40581,0.204839,2.66382,-0.151179,0.0758738,2.70233,0.236061
324,10798.9,-0.40581,0.204839,2.66382,-0.151179,0.0758738,2.70233,0.236061
325,10832.2,-0.414227,0.20945,2.71749,-0.151265,0.0760476,2.75685,0.132786
326,10865.6,-0.40581,0.204839,2.66382,-0.151179,0.0758738,2.70233,0.236061
327,10898.9,-0.40581,0.204839,2.66382,-0.151179,0.0758738,2.70233,0.236061
328,10932.2,-0.40581,0.204839,2.66382,-0.151179,0.0758738,2.70233,0.236061
329,10965.6,-0.40581,0.204839,2.66382,-0.151179,0.0758738,2.70233,0.236061
330,10998.9,-0.40581,0.204839,2.66382,-0.151179,0.0758738,2.70233,0.236061
331,11032.2,-0.40581,0.204839,2.66382,-0.151179,0.0758738,2.70233,0.236061
332,11065.6,-0.40581,0.204839,2.66382,-0.151179,0.0758738,2.70233,0.236061
333,11098.9,-0.40581,0.204839,2.66382,-0.151179,0.0758738,2.70233,0.236061
334,11132.2,-0.40581,0.204839,2.66382,-0.151179,0.0758738,2.70233,0.236061
335,11165.5,-0.405794,0.205196,2.66371,-0.151179,0.0760088,2.70224,0.239253
336,11198.9,-0.40581,0.204839,2.66382,-0.151179,0.0758738,2.70233,0.236061
337,11232.2,-0.406205,0.204618,2.66623,-0.15119,0.0757238,2.70474,0.22374
338,11265.5,-0.404404,0.203915,2.65194,-0.151328,0.0758679,2.69034,0.220853
339,11298.9,-0.40699,0.204625,2.66636,-0.15147,0.0757195,2.70499,0.224161
340,11332.2,-0.407397,0.204959,2.66437,-0.15173,0.0758959,2.70311,0.0227054
341,11365.5,-0.409437,0.205673,2.67993,-0.151607,0.0757201,2.71882,0.231641
342,11398.9,-0.423472,0.213531,2.76981,-0.151714,0.0760597,2.81012,0.128373
343,11432.2,-0.409437,0.205673,2.67993,-0.151607,0.0757201,2.71882,0.231641
344,11465.5,-0.409149,0.205909,2.67814,-0.151602,0.0758574,2.71703,0.244052
345,11498.8,-0.409437,0.205673,2.67993,-0.151607,0.0757201,2.71882,0.231641
346,11532.2,-0.406657,0.20484,2.66429,-0.151463,0.0758574,2.70292,0.23889
347,11565.5,-0.406657,0.20484,2.66429,-0.151463,0.0758574,2.70292,0.23889
